state_name,state_code,district_name,district_code
Andaman and Nicobar Islands,35,Nicobars,603
Andaman and Nicobar Islands,35,South Andamans,602
Andaman and Nicobar Islands,35,South Andaman,602
Andaman and Nicobar Islands,35,North & Middle Andaman,632
Andaman and Nicobar Islands,35,North and Middle Andaman,632
Andhra Pradesh,28,Srikakulam,519
Andhra Pradesh,28,Vizianagaram,521
Andhra Pradesh,28,Visakhapatnam,520
Andhra Pradesh,28,Krishna,510
Andhra Pradesh,28,Guntur,506
Andhra Pradesh,28,East Godavari,505
Andhra Pradesh,28,Prakasam,517
Andhra Pradesh,28,Kurnool,511
Andhra Pradesh,28,Anantapur,502
Andhra Pradesh,28,SPSR Nellore,515
Andhra Pradesh,28,S.P.S. Nellore,515
Andhra Pradesh,28,West Godavari,523
Andhra Pradesh,28,Y.S.R.,504
Andhra Pradesh,28,Y.S.R. Kadapa,504
Andhra Pradesh,28,YSR Kadapa,504
Andhra Pradesh,28,Chittoor,503
Arunachal Pradesh,12,Anjaw,628
Arunachal Pradesh,12,Changlang,229
Arunachal Pradesh,12,Capital Complex,229
Arunachal Pradesh,12,Dibang Valley,230
Arunachal Pradesh,12,Upper Dibang Valley,230
Arunachal Pradesh,12,East Kameng,231
Arunachal Pradesh,12,East Siang,232
Arunachal Pradesh,12,Kurung Kumey,233
Arunachal Pradesh,12,Lohit,234
Arunachal Pradesh,12,Lower Dibang Valley,235
Arunachal Pradesh,12,Lower Subansiri,236
Arunachal Pradesh,12,Papum Pare,237
Arunachal Pradesh,12,Tawang,238
Arunachal Pradesh,12,Tirap,239
Arunachal Pradesh,12,Upper Siang,240
Arunachal Pradesh,12,Upper Subansiri,241
Arunachal Pradesh,12,West Kameng,242
Arunachal Pradesh,12,West Siang,243
Arunachal Pradesh,12,Kra Daadi,677
Arunachal Pradesh,12,Pakke Kessang,723
Arunachal Pradesh,12,Kamle,718
Arunachal Pradesh,12,Leparada,724
Arunachal Pradesh,12,Lepa Rada,724
Arunachal Pradesh,12,Longding,666
Arunachal Pradesh,12,Lower Siang,719
Arunachal Pradesh,12,Namsai,678
Arunachal Pradesh,12,Shi Yomi,725
Arunachal Pradesh,12,Siang,679
Assam,18,Baksa,616
Assam,18,Barpeta,280
Assam,18,Bongaigaon,281
Assam,18,Cachar,282
Assam,18,Chirang,612
Assam,18,Darrang,283
Assam,18,Dhemaji,284
Assam,18,Dhubri,285
Assam,18,Dibrugarh,286
Assam,18,Goalpara,287
Assam,18,Golaghat,288
Assam,18,Hailakandi,289
Assam,18,Jorhat,290
Assam,18,Kamrup,291
Assam,18,Kamrup Metro,618
Assam,18,Kamrup Metropolitan,618
Assam,18,Karbi Anglong,292
Assam,18,Karimganj,293
Assam,18,Kokrajhar,294
Assam,18,Lakhimpur,295
Assam,18,Marigaon,296
Assam,18,Morigaon,296
Assam,18,Nagaon,297
Assam,18,Nalbari,298
Assam,18,Dima Hasao,299
Assam,18,Sivasagar,300
Assam,18,Sonitpur,301
Assam,18,Tinsukia,302
Assam,18,Udalguri,617
Assam,18,Biswanath,705
Assam,18,Charaideo,708
Assam,18,Hojai,709
Assam,18,Majuli,706
Assam,18,South Salmara Mancachar,707
Assam,18,South Salmara Mankachar,707
Assam,18,West Karbi Anglong,710
Bihar,10,Araria,188
Bihar,10,Aurangabad,189
Bihar,10,Banka,190
Bihar,10,Begusarai,191
Bihar,10,Bhagalpur,192
Bihar,10,Bhojpur,193
Bihar,10,Buxar,194
Bihar,10,Darbhanga,195
Bihar,10,Gaya,196
Bihar,10,Gopalganj,197
Bihar,10,Jamui,198
Bihar,10,Kaimur (Bhabua),200
Bihar,10,Kaimur,200
Bihar,10,Katihar,201
Bihar,10,Khagaria,202
Bihar,10,Kishanganj,203
Bihar,10,Lakhisarai,204
Bihar,10,Madhepura,205
Bihar,10,Madhubani,206
Bihar,10,Munger,207
Bihar,10,Muzaffarpur,208
Bihar,10,Nalanda,209
Bihar,10,Nawada,210
Bihar,10,Pashchim Champaran,211
Bihar,10,West Champaran,211
Bihar,10,Patna,212
Bihar,10,Purbi Champaran,213
Bihar,10,East Champaran,213
Bihar,10,Purnia,214
Bihar,10,Rohtas,215
Bihar,10,Saharsa,216
Bihar,10,Samastipur,217
Bihar,10,Saran,218
Bihar,10,Sheikhpura,219
Bihar,10,Sheohar,220
Bihar,10,Sitamarhi,221
Bihar,10,Siwan,222
Bihar,10,Supaul,223
Bihar,10,Vaishali,224
Bihar,10,Arwal,611
Bihar,10,Jehanabad,199
Chandigarh,4,Chandigarh,44
Chhattisgarh,22,Bastar,374
Chhattisgarh,22,Bijapur,636
Chhattisgarh,22,Bilaspur,375
Chhattisgarh,22,Dantewada,376
Chhattisgarh,22,Dakshin Bastar Dantewada,376
Chhattisgarh,22,Dhamtari,377
Chhattisgarh,22,Durg,378
Chhattisgarh,22,Gaurela Pendra Marwahi,734
Chhattisgarh,22,Janjgir-champa,379
Chhattisgarh,22,Janjgir Champa,379
