state_code,state_name,district_name,district_code,state_name_covid,district_name_covid,Not Equal
35,Andaman and Nicobar Islands,Nicobars,603,Andaman and Nicobar Islands,Nicobars,FALSE
35,Andaman and Nicobar Islands,North and Middle Andaman,632,Andaman and Nicobar Islands,North and Middle Andaman,FALSE
35,Andaman and Nicobar Islands,South Andamans,602,Andaman and Nicobar Islands,South Andaman,TRUE
28,Andhra Pradesh,Anantapur,502,Andhra Pradesh,Anantapur,FALSE
28,Andhra Pradesh,Chittoor,503,Andhra Pradesh,Chittoor,FALSE
28,Andhra Pradesh,East Godavari,505,Andhra Pradesh,East Godavari,FALSE
28,Andhra Pradesh,Guntur,506,Andhra Pradesh,Guntur,FALSE
28,Andhra Pradesh,Krishna,510,Andhra Pradesh,Krishna,FALSE
28,Andhra Pradesh,Kurnool,511,Andhra Pradesh,Kurnool,FALSE
28,Andhra Pradesh,Prakasam,517,Andhra Pradesh,Prakasam,FALSE
28,Andhra Pradesh,S.P.S. Nellore,515,Andhra Pradesh,S.P.S. Nellore,FALSE
28,Andhra Pradesh,Srikakulam,519,Andhra Pradesh,Srikakulam,FALSE
28,Andhra Pradesh,Visakhapatnam,520,Andhra Pradesh,Visakhapatnam,FALSE
28,Andhra Pradesh,Vizianagaram,521,Andhra Pradesh,Vizianagaram,FALSE
28,Andhra Pradesh,West Godavari,523,Andhra Pradesh,West Godavari,FALSE
28,Andhra Pradesh,Y.S.R. Kadapa,504,Andhra Pradesh,Y.S.R. Kadapa,FALSE
12,Arunachal Pradesh,Anjaw,628,Arunachal Pradesh,Anjaw,FALSE
12,Arunachal Pradesh,Changlang,229,Arunachal Pradesh,Changlang,FALSE
12,Arunachal Pradesh,Dibang Valley,230,Arunachal Pradesh,Upper Dibang Valley,TRUE
12,Arunachal Pradesh,East Kameng,231,Arunachal Pradesh,East Kameng,FALSE
12,Arunachal Pradesh,East Siang,232,Arunachal Pradesh,East Siang,FALSE
12,Arunachal Pradesh,Kamle,718,Arunachal Pradesh,Kamle,FALSE
12,Arunachal Pradesh,Kra Daadi,677,Arunachal Pradesh,Kra Daadi,FALSE
12,Arunachal Pradesh,Kurung Kumey,233,Arunachal Pradesh,Kurung Kumey,FALSE
12,Arunachal Pradesh,Leparada,724,Arunachal Pradesh,Lepa Rada,TRUE
12,Arunachal Pradesh,Lohit,234,Arunachal Pradesh,Lohit,FALSE
12,Arunachal Pradesh,Longding,666,Arunachal Pradesh,Longding,FALSE
12,Arunachal Pradesh,Lower Dibang Valley,235,Arunachal Pradesh,Lower Dibang Valley,FALSE
12,Arunachal Pradesh,Lower Siang,719,Arunachal Pradesh,Lower Siang,FALSE
12,Arunachal Pradesh,Lower Subansiri,236,Arunachal Pradesh,Lower Subansiri,FALSE
12,Arunachal Pradesh,Namsai,678,Arunachal Pradesh,Namsai,FALSE
12,Arunachal Pradesh,Pakke Kessang,723,Arunachal Pradesh,Pakke Kessang,FALSE
12,Arunachal Pradesh,Papum Pare,237,Arunachal Pradesh,Papum Pare,FALSE
12,Arunachal Pradesh,Shi Yomi,725,Arunachal Pradesh,Shi Yomi,FALSE
12,Arunachal Pradesh,Siang,679,Arunachal Pradesh,Siang,FALSE
12,Arunachal Pradesh,Tawang,238,Arunachal Pradesh,Tawang,FALSE
12,Arunachal Pradesh,Tirap,239,Arunachal Pradesh,Tirap,FALSE
12,Arunachal Pradesh,Upper Siang,240,Arunachal Pradesh,Upper Siang,FALSE
12,Arunachal Pradesh,Upper Subansiri,241,Arunachal Pradesh,Upper Subansiri,FALSE
12,Arunachal Pradesh,West Kameng,242,Arunachal Pradesh,West Kameng,FALSE
12,Arunachal Pradesh,West Siang,243,Arunachal Pradesh,West Siang,FALSE
18,Assam,Baksa,616,Assam,Baksa,FALSE
18,Assam,Barpeta,280,Assam,Barpeta,FALSE
18,Assam,Biswanath,705,Assam,Biswanath,FALSE
18,Assam,Bongaigaon,281,Assam,Bongaigaon,FALSE
18,Assam,Cachar,282,Assam,Cachar,FALSE
18,Assam,Charaideo,708,Assam,Charaideo,FALSE
18,Assam,Chirang,612,Assam,Chirang,FALSE
18,Assam,Darrang,283,Assam,Darrang,FALSE
18,Assam,Dhemaji,284,Assam,Dhemaji,FALSE
18,Assam,Dhubri,285,Assam,Dhubri,FALSE
18,Assam,Dibrugarh,286,Assam,Dibrugarh,FALSE
18,Assam,Dima Hasao,299,Assam,Dima Hasao,FALSE
18,Assam,Goalpara,287,Assam,Goalpara,FALSE
18,Assam,Golaghat,288,Assam,Golaghat,FALSE
18,Assam,Hailakandi,289,Assam,Hailakandi,FALSE
18,Assam,Hojai,709,Assam,Hojai,FALSE
18,Assam,Jorhat,290,Assam,Jorhat,FALSE
18,Assam,Kamrup,291,Assam,Kamrup,FALSE
18,Assam,Kamrup Metro,618,Assam,Kamrup Metropolitan,TRUE
18,Assam,Karbi Anglong,292,Assam,Karbi Anglong,FALSE
18,Assam,Karimganj,293,Assam,Karimganj,FALSE
18,Assam,Kokrajhar,294,Assam,Kokrajhar,FALSE
18,Assam,Lakhimpur,295,Assam,Lakhimpur,FALSE
18,Assam,Majuli,706,Assam,Majuli,FALSE
18,Assam,Marigaon,296,Assam,Morigaon,TRUE
18,Assam,Nagaon,297,Assam,Nagaon,FALSE
18,Assam,Nalbari,298,Assam,Nalbari,FALSE
18,Assam,Sivasagar,300,Assam,Sivasagar,FALSE
18,Assam,Sonitpur,301,Assam,Sonitpur,FALSE
18,Assam,South Salmara Mancachar,707,Assam,South Salmara Mankachar,TRUE
18,Assam,Tinsukia,302,Assam,Tinsukia,FALSE
18,Assam,Udalguri,617,Assam,Udalguri,FALSE
18,Assam,West Karbi Anglong,710,Assam,West Karbi Anglong,FALSE
10,Bihar,Araria,188,Bihar,Araria,FALSE
10,Bihar,Arwal,611,Bihar,Arwal,FALSE
10,Bihar,Aurangabad,189,Bihar,Aurangabad,FALSE
10,Bihar,Banka,190,Bihar,Banka,FALSE
10,Bihar,Begusarai,191,Bihar,Begusarai,FALSE
10,Bihar,Bhagalpur,192,Bihar,Bhagalpur,FALSE
10,Bihar,Bhojpur,193,Bihar,Bhojpur,FALSE
10,Bihar,Buxar,194,Bihar,Buxar,FALSE
10,Bihar,Darbhanga,195,Bihar,Darbhanga,FALSE
10,Bihar,Gaya,196,Bihar,Gaya,FALSE
10,Bihar,Gopalganj,197,Bihar,Gopalganj,FALSE
10,Bihar,Jamui,198,Bihar,Jamui,FALSE
10,Bihar,Jehanabad,199,Bihar,Jehanabad,FALSE
10,Bihar,Kaimur (Bhabua),200,Bihar,Kaimur,TRUE
10,Bihar,Katihar,201,Bihar,Katihar,FALSE
10,Bihar,Khagaria,202,Bihar,Khagaria,FALSE
10,Bihar,Kishanganj,203,Bihar,Kishanganj,FALSE
10,Bihar,Lakhisarai,204,Bihar,Lakhisarai,FALSE
10,Bihar,Madhepura,205,Bihar,Madhepura,FALSE
10,Bihar,Madhubani,206,Bihar,Madhubani,FALSE
10,Bihar,Munger,207,Bihar,Munger,FALSE
10,Bihar,Muzaffarpur,208,Bihar,Muzaffarpur,FALSE
10,Bihar,Nalanda,209,Bihar,Nalanda,FALSE
10,Bihar,Nawada,210,Bihar,Nawada,FALSE
10,Bihar,Pashchim Champaran,211,Bihar,West Champaran,TRUE
10,Bihar,Patna,212,Bihar,Patna,FALSE
10,Bihar,Purbi Champaran,213,Bihar,East Champaran,TRUE
10,Bihar,Purnia,214,Bihar,Purnia,FALSE
10,Bihar,Rohtas,215,Bihar,Rohtas,FALSE
10,Bihar,Saharsa,216,Bihar,Saharsa,FALSE
10,Bihar,Samastipur,217,Bihar,Samastipur,FALSE
10,Bihar,Saran,218,Bihar,Saran,FALSE
10,Bihar,Sheikhpura,219,Bihar,Sheikhpura,FALSE
10,Bihar,Sheohar,220,Bihar,Sheohar,FALSE
10,Bihar,Sitamarhi,221,Bihar,Sitamarhi,FALSE
10,Bihar,Siwan,222,Bihar,Siwan,FALSE
10,Bihar,Supaul,223,Bihar,Supaul,FALSE
10,Bihar,Vaishali,224,Bihar,Vaishali,FALSE
4,Chandigarh,Chandigarh,44,Chandigarh,Chandigarh,FALSE
22,Chhattisgarh,Balod,646,Chhattisgarh,Balod,FALSE
22,Chhattisgarh,Balod Bazar,644,Chhattisgarh,Baloda Bazar,TRUE
22,Chhattisgarh,Balrampur,649,Chhattisgarh,Balrampur,FALSE
22,Chhattisgarh,Bastar,374,Chhattisgarh,Bastar,FALSE
22,Chhattisgarh,Bemetara,650,Chhattisgarh,Bametara,TRUE
22,Chhattisgarh,Bijapur,636,Chhattisgarh,Bijapur,FALSE
22,Chhattisgarh,Bilaspur,375,Chhattisgarh,Bilaspur,FALSE
22,Chhattisgarh,Dantewada,376,Chhattisgarh,Dakshin Bastar Dantewada,TRUE
22,Chhattisgarh,Dhamtari,377,Chhattisgarh,Dhamtari,FALSE
22,Chhattisgarh,Durg,378,Chhattisgarh,Durg,FALSE
22,Chhattisgarh,Gariyaband,645,Chhattisgarh,Gariaband,TRUE
22,Chhattisgarh,Janjgir-champa,379,Chhattisgarh,Janjgir Champa,TRUE
22,Chhattisgarh,Jashpur,380,Chhattisgarh,Jashpur,FALSE
22,Chhattisgarh,Kabirdham,382,Chhattisgarh,Kabeerdham,TRUE
22,Chhattisgarh,Kanker,381,Chhattisgarh,Uttar Bastar Kanker,TRUE
22,Chhattisgarh,Kondagaon,643,Chhattisgarh,Kondagaon,FALSE
22,Chhattisgarh,Korba,383,Chhattisgarh,Korba,FALSE
22,Chhattisgarh,Korea,384,Chhattisgarh,Koriya,TRUE
22,Chhattisgarh,Mahasamund,385,Chhattisgarh,Mahasamund,FALSE
22,Chhattisgarh,Mungeli,647,Chhattisgarh,Mungeli,FALSE
22,Chhattisgarh,Narayanpur,637,Chhattisgarh,Narayanpur,FALSE
22,Chhattisgarh,Raigarh,386,Chhattisgarh,Raigarh,FALSE
22,Chhattisgarh,Raipur,387,Chhattisgarh,Raipur,FALSE
22,Chhattisgarh,Rajnandgaon,388,Chhattisgarh,Rajnandgaon,FALSE
22,Chhattisgarh,Sukma,642,Chhattisgarh,Sukma,FALSE
22,Chhattisgarh,Surajpur,648,Chhattisgarh,Surajpur,FALSE
22,Chhattisgarh,Surguja,389,Chhattisgarh,Surguja,FALSE
26,Dadra And Nagar Haveli,Dadra and Nagar Haveli,465,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,FALSE
25,Daman And Diu,Daman,463,Dadra and Nagar Haveli and Daman and Diu,Daman,FALSE
25,Daman And Diu,Diu,464,Dadra and Nagar Haveli and Daman and Diu,Diu,FALSE
7,Delhi,Central,77,Delhi,Central Delhi,TRUE
7,Delhi,East,78,Delhi,East Delhi,TRUE
7,Delhi,New Delhi,79,Delhi,New Delhi,FALSE
7,Delhi,North,80,Delhi,North Delhi,TRUE
7,Delhi,North East,81,Delhi,North East Delhi,TRUE
7,Delhi,North West,82,Delhi,North West Delhi,TRUE
7,Delhi,Shahdara,671,Delhi,Shahdara,FALSE
7,Delhi,South,83,Delhi,South Delhi,TRUE
