state_name,district_name,state_code,state_name_lgd,district_code,district_name_lgd
ANDHRA PRADESH,ANANTAPUR,28,ANDHRA PRADESH                                    ,502,ANANTAPUR
ANDHRA PRADESH,CHITTOOR,28,ANDHRA PRADESH                                    ,503,CHITTOOR
ANDHRA PRADESH,CUDDAPAH,28,ANDHRA PRADESH                                    ,504,Y.S.R.
ANDHRA PRADESH,EAST GODAVARI,28,ANDHRA PRADESH                                    ,505,EAST GODAVARI
ANDHRA PRADESH,GUNTUR,28,ANDHRA PRADESH                                    ,506,GUNTUR
ANDHRA PRADESH,KRISHNA,28,ANDHRA PRADESH                                    ,510,KRISHNA
ANDHRA PRADESH,KURNOOL,28,ANDHRA PRADESH                                    ,511,KURNOOL
ANDHRA PRADESH,NELLORE,28,ANDHRA PRADESH                                    ,515,SPSR NELLORE
ANDHRA PRADESH,PRAKASAM,28,ANDHRA PRADESH                                    ,517,PRAKASAM
ANDHRA PRADESH,SRIKAKULAM,28,ANDHRA PRADESH                                    ,519,SRIKAKULAM
ANDHRA PRADESH,VISAKHAPATANAM,28,ANDHRA PRADESH                                    ,520,VISAKHAPATANAM
ANDHRA PRADESH,VIZIANAGARAM,28,ANDHRA PRADESH                                    ,521,VIZIANAGARAM
ANDHRA PRADESH,WEST GODAVARI,28,ANDHRA PRADESH                                    ,523,WEST GODAVARI
ARUNACHAL PRADESH,ANJAW,12,ARUNACHAL PRADESH                                 ,628,ANJAW
ARUNACHAL PRADESH,CHANGLANG,12,ARUNACHAL PRADESH                                 ,229,CHANGLANG
ARUNACHAL PRADESH,EAST KAMENG,12,ARUNACHAL PRADESH                                 ,231,EAST KAMENG
ARUNACHAL PRADESH,EAST SIANG,12,ARUNACHAL PRADESH                                 ,232,EAST SIANG
ARUNACHAL PRADESH,KAMLE,12,ARUNACHAL PRADESH                                 ,718,KAMLE
ARUNACHAL PRADESH,KRA-DAADI,12,ARUNACHAL PRADESH                                 ,677,KRA  DAADI
ARUNACHAL PRADESH,KURUNG KUMEY,12,ARUNACHAL PRADESH                                 ,233,KURUNG KUMEY
ARUNACHAL PRADESH,LEPARADA,12,ARUNACHAL PRADESH                                 ,724,LEPARADA
ARUNACHAL PRADESH,LOHIT,12,ARUNACHAL PRADESH                                 ,234,LOHIT
ARUNACHAL PRADESH,LONGDING,12,ARUNACHAL PRADESH                                 ,666,LONGDING
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,12,ARUNACHAL PRADESH                                 ,235,LOWER DIBANG VALLEY
ARUNACHAL PRADESH,LOWER SIANG,12,ARUNACHAL PRADESH                                 ,719,LOWER SIANG
ARUNACHAL PRADESH,LOWER SUBANSIRI,12,ARUNACHAL PRADESH                                 ,236,LOWER SUBANSIRI
ARUNACHAL PRADESH,NAMSAI,12,ARUNACHAL PRADESH                                 ,678,NAMSAI
ARUNACHAL PRADESH,PAKKE KESSANG,12,ARUNACHAL PRADESH                                 ,723,PAKKE KESSANG
