district_name,district_code,state_name,state_cod
Lakshadweep District,553, LAKSHADWEEP,31
Srikakulam,519,ANDHRA PRADESH,28
Vizianagaram,521,ANDHRA PRADESH,28
Visakhapatnam,520,ANDHRA PRADESH,28
Krishna,510,ANDHRA PRADESH,28
Guntur,506,ANDHRA PRADESH,28
East Godavari,505,ANDHRA PRADESH,28
Prakasam,517,ANDHRA PRADESH,28
Kurnool,511,ANDHRA PRADESH,28
Anantapur,502,ANDHRA PRADESH,28
SPSR Nellore,515,ANDHRA PRADESH,28
West Godavari,523,ANDHRA PRADESH,28
Y.S.R.,504,ANDHRA PRADESH,28
Chittoor,503,ANDHRA PRADESH,28
Nicobars,603,ANDAMAN AND NICOBAR ISLANDS,35
South Andamans,602,ANDAMAN AND NICOBAR ISLANDS,35
North & Middle Andaman,632,ANDAMAN AND NICOBAR ISLANDS,35
Anjaw,628,ARUNACHAL PRADESH,12
Changlang,229,ARUNACHAL PRADESH,12
Dibang Valley,230,ARUNACHAL PRADESH,12
East Kameng,231,ARUNACHAL PRADESH,12
East Siang,232,ARUNACHAL PRADESH,12
Kurung Kumey,233,ARUNACHAL PRADESH,12
Lohit,234,ARUNACHAL PRADESH,12
Lower Dibang Valley,235,ARUNACHAL PRADESH,12
Lower Subansiri,236,ARUNACHAL PRADESH,12
Papum Pare,237,ARUNACHAL PRADESH,12
Tawang,238,ARUNACHAL PRADESH,12
Tirap,239,ARUNACHAL PRADESH,12
Upper Siang,240,ARUNACHAL PRADESH,12
Upper Subansiri,241,ARUNACHAL PRADESH,12
West Kameng,242,ARUNACHAL PRADESH,12
West Siang,243,ARUNACHAL PRADESH,12
Kra Daadi,677,ARUNACHAL PRADESH,12
Pakke Kessang,723,ARUNACHAL PRADESH,12
Kamle,718,ARUNACHAL PRADESH,12
Leparada,724,ARUNACHAL PRADESH,12
Longding,666,ARUNACHAL PRADESH,12
Lower Siang,719,ARUNACHAL PRADESH,12
Namsai,678,ARUNACHAL PRADESH,12
Shi Yomi,725,ARUNACHAL PRADESH,12
Siang,679,ARUNACHAL PRADESH,12
Baksa,616,ASSAM,18
Barpeta,280,ASSAM,18
Bongaigaon,281,ASSAM,18
Cachar,282,ASSAM,18
Chirang,612,ASSAM,18
Darrang,283,ASSAM,18
Dhemaji,284,ASSAM,18
Dhubri,285,ASSAM,18
Dibrugarh,286,ASSAM,18
Goalpara,287,ASSAM,18
Golaghat,288,ASSAM,18
Hailakandi,289,ASSAM,18
Jorhat,290,ASSAM,18
Kamrup,291,ASSAM,18
Kamrup Metro,618,ASSAM,18
Karbi Anglong,292,ASSAM,18
Karimganj,293,ASSAM,18
Kokrajhar,294,ASSAM,18
Lakhimpur,295,ASSAM,18
Marigaon,296,ASSAM,18
Nagaon,297,ASSAM,18
Nalbari,298,ASSAM,18
Dima Hasao,299,ASSAM,18
Sivasagar,300,ASSAM,18
Sonitpur,301,ASSAM,18
Tinsukia,302,ASSAM,18
Udalguri,617,ASSAM,18
Biswanath,705,ASSAM,18
Charaideo,708,ASSAM,18
Hojai,709,ASSAM,18
Majuli,706,ASSAM,18
South Salmara Mancachar,707,ASSAM,18
West Karbi Anglong,710,ASSAM,18
Araria,188,BIHAR,10
Aurangabad,189,BIHAR,10
Banka,190,BIHAR,10
Begusarai,191,BIHAR,10
Bhagalpur,192,BIHAR,10
Bhojpur,193,BIHAR,10
Buxar,194,BIHAR,10
Darbhanga,195,BIHAR,10
Gaya,196,BIHAR,10
Gopalganj,197,BIHAR,10
Jamui,198,BIHAR,10
Kaimur (Bhabua),200,BIHAR,10
Katihar,201,BIHAR,10
Khagaria,202,BIHAR,10
Kishanganj,203,BIHAR,10
Lakhisarai,204,BIHAR,10
Madhepura,205,BIHAR,10
Madhubani,206,BIHAR,10
Munger,207,BIHAR,10
Muzaffarpur,208,BIHAR,10
Nalanda,209,BIHAR,10
Nawada,210,BIHAR,10
Pashchim Champaran,211,BIHAR,10
Patna,212,BIHAR,10
Purbi Champaran,213,BIHAR,10
Purnia,214,BIHAR,10
Rohtas,215,BIHAR,10
Saharsa,216,BIHAR,10
Samastipur,217,BIHAR,10
Saran,218,BIHAR,10
Sheikhpura,219,BIHAR,10
Sheohar,220,BIHAR,10
Sitamarhi,221,BIHAR,10
Siwan,222,BIHAR,10
Supaul,223,BIHAR,10
Vaishali,224,BIHAR,10
Arwal,611,BIHAR,10
Jehanabad,199,BIHAR,10
Chandigarh,44,CHANDIGARH,4
Bastar,374,CHHATTISGARH,22
Bijapur,636,CHHATTISGARH,22
Bilaspur,375,CHHATTISGARH,22
Dantewada,376,CHHATTISGARH,22
Dhamtari,377,CHHATTISGARH,22
Durg,378,CHHATTISGARH,22
Janjgir-champa,379,CHHATTISGARH,22
Jashpur,380,CHHATTISGARH,22
Kanker,381,CHHATTISGARH,22
Korba,383,CHHATTISGARH,22
Korea,384,CHHATTISGARH,22
Mahasamund,385,CHHATTISGARH,22
Narayanpur,637,CHHATTISGARH,22
Raigarh,386,CHHATTISGARH,22
Raipur,387,CHHATTISGARH,22
Rajnandgaon,388,CHHATTISGARH,22
Surguja,389,CHHATTISGARH,22
Kabirdham,382,CHHATTISGARH,22
Balod,646,CHHATTISGARH,22
Balod Bazar,644,CHHATTISGARH,22
Balrampur,649,CHHATTISGARH,22
Bemetara,650,CHHATTISGARH,22
Gariyaband,645,CHHATTISGARH,22
Kondagaon,643,CHHATTISGARH,22
Mungeli,647,CHHATTISGARH,22
Surajpur,648,CHHATTISGARH,22
Sukma,642,CHHATTISGARH,22
Dadra and Nagar Haveli,465,DADRA AND NAGAR HAVELI,26
Daman,463,DAMAN AND DIU,25
Diu,464,DAMAN AND DIU,25
Central,77,DELHI,7
East,78,DELHI,7
New Delhi,79,DELHI,7
North,80,DELHI,7
North East,81,DELHI,7
North West,82,DELHI,7
South,83,DELHI,7
South West,84,DELHI,7
West,85,DELHI,7
South East,670,DELHI,7
Shahdara,671,DELHI,7
North Goa,551,GOA,30
South Goa,552,GOA,30
Bhavnagar,443,GUJARAT,24
Ahmadabad,438,GUJARAT,24
Chhotaudepur,668,GUJARAT,24
Botad,676,GUJARAT,24
Vadodara,461,GUJARAT,24
Arvalli,672,GUJARAT,24
