state_code,state_name,district_name,district_name_covid,district_code
31,Lakshadweep,Lakshadweep District,Lakshadweep District,553
28,Andhra Pradesh,Srikakulam,Srikakulam,519
28,Andhra Pradesh,Vizianagaram,Vizianagaram,521
28,Andhra Pradesh,Visakhapatnam,Visakhapatnam,520
28,Andhra Pradesh,Krishna,Krishna,510
28,Andhra Pradesh,Guntur,Guntur,506
28,Andhra Pradesh,East Godavari,East Godavari,505
28,Andhra Pradesh,Prakasam,Prakasam,517
28,Andhra Pradesh,Kurnool,Kurnool,511
28,Andhra Pradesh,Anantapur,Anantapur,502
28,Andhra Pradesh,SPSR Nellore,SPSR Nellore,515
28,Andhra Pradesh,S.P.S. Nellore,S.P.S. Nellore,515
28,Andhra Pradesh,West Godavari,West Godavari,523
28,Andhra Pradesh,Y.S.R.,Y.S.R. Kadapa,504
28,Andhra Pradesh,Chittoor,Chittoor,503
28,Andhra Pradesh,Other State,Other State,
28,Andhra Pradesh,,,
35,Andaman and Nicobar Islands,Nicobars,Nicobars,603
35,Andaman and Nicobar Islands,South Andamans,South Andamans,602
35,Andaman and Nicobar Islands,North & Middle Andaman,North & Middle Andaman,632
35,Andaman and Nicobar Islands,,,
12,Arunachal Pradesh,Anjaw,Anjaw,628
12,Arunachal Pradesh,Changlang,Changlang,229
12,Arunachal Pradesh,Dibang Valley,Upper Dibang Valley,230
12,Arunachal Pradesh,East Kameng,East Kameng,231
12,Arunachal Pradesh,East Siang,East Siang,232
12,Arunachal Pradesh,Kurung Kumey,Kurung Kumey,233
12,Arunachal Pradesh,Lohit,Lohit,234
12,Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley,235
12,Arunachal Pradesh,Lower Subansiri,Lower Subansiri,236
12,Arunachal Pradesh,Papum Pare,Papum Pare,237
12,Arunachal Pradesh,Tawang,Tawang,238
12,Arunachal Pradesh,Tirap,Tirap,239
12,Arunachal Pradesh,Upper Siang,Upper Siang,240
12,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,241
12,Arunachal Pradesh,West Kameng,West Kameng,242
12,Arunachal Pradesh,West Siang,West Siang,243
12,Arunachal Pradesh,Kra Daadi,Kra Daadi,677
12,Arunachal Pradesh,Pakke Kessang,Pakke Kessang,723
12,Arunachal Pradesh,Kamle,Kamle,718
12,Arunachal Pradesh,Leparada,Lepa Rada,724
12,Arunachal Pradesh,Longding,Longding,666
12,Arunachal Pradesh,Lower Siang,Lower Siang,719
12,Arunachal Pradesh,Namsai,Namsai,678
12,Arunachal Pradesh,Shi Yomi,Shi Yomi,725
12,Arunachal Pradesh,Siang,Siang,679
12,Arunachal Pradesh,,Capital Complex,
18,Assam,Baksa,Baksa,616
18,Assam,Barpeta,Barpeta,280
18,Assam,Bongaigaon,Bongaigaon,281
18,Assam,Cachar,Cachar,282
18,Assam,Chirang,Chirang,612
18,Assam,Darrang,Darrang,283
18,Assam,Dhemaji,Dhemaji,284
18,Assam,Dhubri,Dhubri,285
18,Assam,Dibrugarh,Dibrugarh,286
18,Assam,Goalpara,Goalpara,287
18,Assam,Golaghat,Golaghat,288
18,Assam,Hailakandi,Hailakandi,289
18,Assam,Jorhat,Jorhat,290
18,Assam,Kamrup,Kamrup,291
18,Assam,Kamrup Metro,Kamrup Metro,618
18,Assam,Karbi Anglong,Karbi Anglong,292
18,Assam,Karimganj,Karimganj,293
18,Assam,Kokrajhar,Kokrajhar,294
18,Assam,Lakhimpur,Lakhimpur,295
18,Assam,Marigaon,Marigaon,296
18,Assam,Nagaon,Nagaon,297
18,Assam,Nalbari,Nalbari,298
18,Assam,Dima Hasao,Dima Hasao,299
18,Assam,Sivasagar,Sivasagar,300
18,Assam,Sonitpur,Sonitpur,301
18,Assam,Tinsukia,Tinsukia,302
18,Assam,Udalguri,Udalguri,617
18,Assam,Biswanath,Biswanath,705
18,Assam,Charaideo,Charaideo,708
18,Assam,Hojai,Hojai,709
18,Assam,Majuli,Majuli,706
18,Assam,South Salmara Mancachar,South Salmara Mancachar,707
18,Assam,West Karbi Anglong,West Karbi Anglong,710
18,Assam,,,
10,Bihar,Araria,Araria,188
10,Bihar,Aurangabad,Aurangabad,189
10,Bihar,Banka,Banka,190
10,Bihar,Begusarai,Begusarai,191
10,Bihar,Bhagalpur,Bhagalpur,192
10,Bihar,Bhojpur,Bhojpur,193
10,Bihar,Buxar,Buxar,194
10,Bihar,Darbhanga,Darbhanga,195
10,Bihar,Gaya,Gaya,196
10,Bihar,Gopalganj,Gopalganj,197
10,Bihar,Jamui,Jamui,198
10,Bihar,Kaimur (Bhabua),Kaimur,200
10,Bihar,Katihar,Katihar,201
10,Bihar,Khagaria,Khagaria,202
10,Bihar,Kishanganj,Kishanganj,203
10,Bihar,Lakhisarai,Lakhisarai,204
10,Bihar,Madhepura,Madhepura,205
10,Bihar,Madhubani,Madhubani,206
10,Bihar,Munger,Munger,207
10,Bihar,Muzaffarpur,Muzaffarpur,208
10,Bihar,Nalanda,Nalanda,209
10,Bihar,Nawada,Nawada,210
