dist_lower,state_name,state_code,district_name,district_code
north and middle andaman,Andaman and Nicobar Islands                   ,35,North and Middle Andaman,632
south andaman,Andaman and Nicobar Islands                   ,35,South Andamans,602
north goa,Goa                                               ,30,North Goa,551
south goa,Goa                                               ,30,South Goa,552
dahod,Gujarat                                           ,24,Dohad,445
devbhumi dwarka,Gujarat                                           ,24,Devbhumi Dwarka,674
gandhinagar,Gujarat                                           ,24,Gandhinagar,446
gir somnath,Gujarat                                           ,24,Gir Somnath,675
jamnagar,Gujarat                                           ,24,Jamnagar,447
junagadh,Gujarat                                           ,24,Junagadh,448
kachchh,Gujarat                                           ,24,Kachchh,449
kheda,Gujarat                                           ,24,Kheda,450
mahesana,Gujarat                                           ,24,Mahesana,451
mahisagar,Gujarat                                           ,24,Mahisagar,669
ahmadabad,Gujarat                                           ,24,Ahmadabad,438
morbi,Gujarat                                           ,24,Morbi,673
narmada,Gujarat                                           ,24,Narmada,452
navsari,Gujarat                                           ,24,Navsari,453
panch mahals,Gujarat                                           ,24,Panch Mahals,454
patan,Gujarat                                           ,24,Patan,455
porbandar,Gujarat                                           ,24,Porbandar,456
rajkot,Gujarat                                           ,24,Rajkot,457
sabar kantha,Gujarat                                           ,24,Sabar Kantha,458
surat,Gujarat                                           ,24,Surat,459
surendranagar,Gujarat                                           ,24,Surendranagar,460
amreli,Gujarat                                           ,24,Amreli,439
tapi,Gujarat                                           ,24,Tapi,641
the dangs,Gujarat                                           ,24,Dang,444
vadodara,Gujarat                                           ,24,Vadodara,461
valsad,Gujarat                                           ,24,Valsad,462
anand,Gujarat                                           ,24,Anand,440
aravalli,Gujarat                                           ,24,Arvalli,672
banas kantha,Gujarat                                           ,24,Banas Kantha,441
bharuch,Gujarat                                           ,24,Bharuch,442
bhavnagar,Gujarat                                           ,24,Bhavnagar,443
botad,Gujarat                                           ,24,Botad,676
chhota udaipur,Gujarat                                           ,24,Chhotaudepur,668
karnal,Haryana                                           ,6,Karnal,67
kurukshetra,Haryana                                           ,6,Kurukshetra,68
mahendragarh,Haryana                                           ,6,Mahendragarh,69
mewat,Haryana                                           ,6,Nuh,604
palwal,Haryana                                           ,6,Palwal,619
panchkula,Haryana                                           ,6,Panchkula,70
panipat,Haryana                                           ,6,Panipat,71
rewari,Haryana                                           ,6,Rewari,72
rohtak,Haryana                                           ,6,Rohtak,73
sirsa,Haryana                                           ,6,Sirsa,74
ambala,Haryana                                           ,6,Ambala,58
sonipat,Haryana                                           ,6,Sonipat,75
yamunanagar,Haryana                                           ,6,Yamunanagar,76
bhiwani,Haryana                                           ,6,Bhiwani,59
faridabad,Haryana                                           ,6,Faridabad,60
fatehabad,Haryana                                           ,6,Fatehabad,61
gurgaon,Haryana                                           ,6,Gurugram,62
hisar,Haryana                                           ,6,Hisar,63
jhajjar,Haryana                                           ,6,Jhajjar,64
jind,Haryana                                           ,6,Jind,65
kaithal,Haryana                                           ,6,Kaithal,66
sirmaur,Himachal Pradesh                                  ,2,Sirmaur,24
solan,Himachal Pradesh                                  ,2,Solan,25
una,Himachal Pradesh                                  ,2,Una,26
bilaspur,Chhattisgarh                                      ,22,Bilaspur,375
bilaspur,Himachal Pradesh                                  ,2,Bilaspur,15
