district_name_data,dist_lower,state_name,state_code,district_name,district_code
North and Middle Andaman,north and middle andaman,Andaman and Nicobar Islands                   ,35,North and Middle Andaman,632
South Andaman,south andaman,Andaman and Nicobar Islands                   ,35,South Andamans,602
North Goa,north goa,Goa                                               ,30,North Goa,551
South Goa,south goa,Goa                                               ,30,South Goa,552
Dahod,dahod,Gujarat                                           ,24,Dohad,445
Devbhumi Dwarka,devbhumi dwarka,Gujarat                                           ,24,Devbhumi Dwarka,674
Gandhinagar,gandhinagar,Gujarat                                           ,24,Gandhinagar,446
Gir Somnath,gir somnath,Gujarat                                           ,24,Gir Somnath,675
Jamnagar,jamnagar,Gujarat                                           ,24,Jamnagar,447
Junagadh,junagadh,Gujarat                                           ,24,Junagadh,448
Kachchh,kachchh,Gujarat                                           ,24,Kachchh,449
Kheda,kheda,Gujarat                                           ,24,Kheda,450
Mahesana,mahesana,Gujarat                                           ,24,Mahesana,451
Mahisagar,mahisagar,Gujarat                                           ,24,Mahisagar,669
Ahmadabad,ahmadabad,Gujarat                                           ,24,Ahmadabad,438
Morbi,morbi,Gujarat                                           ,24,Morbi,673
Narmada,narmada,Gujarat                                           ,24,Narmada,452
Navsari,navsari,Gujarat                                           ,24,Navsari,453
Panch Mahals,panch mahals,Gujarat                                           ,24,Panch Mahals,454
Patan,patan,Gujarat                                           ,24,Patan,455
Porbandar,porbandar,Gujarat                                           ,24,Porbandar,456
Rajkot,rajkot,Gujarat                                           ,24,Rajkot,457
Sabar Kantha,sabar kantha,Gujarat                                           ,24,Sabar Kantha,458
Surat,surat,Gujarat                                           ,24,Surat,459
Surendranagar,surendranagar,Gujarat                                           ,24,Surendranagar,460
Amreli,amreli,Gujarat                                           ,24,Amreli,439
Tapi,tapi,Gujarat                                           ,24,Tapi,641
The Dangs,the dangs,Gujarat                                           ,24,Dang,444
Vadodara,vadodara,Gujarat                                           ,24,Vadodara,461
Valsad,valsad,Gujarat                                           ,24,Valsad,462
Anand,anand,Gujarat                                           ,24,Anand,440
Aravalli,aravalli,Gujarat                                           ,24,Arvalli,672
Banas Kantha,banas kantha,Gujarat                                           ,24,Banas Kantha,441
Bharuch,bharuch,Gujarat                                           ,24,Bharuch,442
Bhavnagar,bhavnagar,Gujarat                                           ,24,Bhavnagar,443
Botad,botad,Gujarat                                           ,24,Botad,676
Chhota Udaipur,chhota udaipur,Gujarat                                           ,24,Chhotaudepur,668
Karnal,karnal,Haryana                                           ,6,Karnal,67
Kurukshetra,kurukshetra,Haryana                                           ,6,Kurukshetra,68
Mahendragarh,mahendragarh,Haryana                                           ,6,Mahendragarh,69
Mewat,mewat,Haryana                                           ,6,Nuh,604
Palwal,palwal,Haryana                                           ,6,Palwal,619
Panchkula,panchkula,Haryana                                           ,6,Panchkula,70
Panipat,panipat,Haryana                                           ,6,Panipat,71
Rewari,rewari,Haryana                                           ,6,Rewari,72
Rohtak,rohtak,Haryana                                           ,6,Rohtak,73
Sirsa,sirsa,Haryana                                           ,6,Sirsa,74
Ambala,ambala,Haryana                                           ,6,Ambala,58
Sonipat,sonipat,Haryana                                           ,6,Sonipat,75
Yamunanagar,yamunanagar,Haryana                                           ,6,Yamunanagar,76
Bhiwani,bhiwani,Haryana                                           ,6,Bhiwani,59
Faridabad,faridabad,Haryana                                           ,6,Faridabad,60
Fatehabad,fatehabad,Haryana                                           ,6,Fatehabad,61
Gurgaon,gurgaon,Haryana                                           ,6,Gurugram,62
Hisar,hisar,Haryana                                           ,6,Hisar,63
Jhajjar,jhajjar,Haryana                                           ,6,Jhajjar,64
Jind,jind,Haryana                                           ,6,Jind,65
Kaithal,kaithal,Haryana                                           ,6,Kaithal,66
Sirmaur,sirmaur,Himachal Pradesh                                  ,2,Sirmaur,24
Solan,solan,Himachal Pradesh                                  ,2,Solan,25
Una,una,Himachal Pradesh                                  ,2,Una,26
Bilaspur,bilaspur,Chhattisgarh                                      ,22,Bilaspur,375
Bilaspur,bilaspur,Himachal Pradesh                                  ,2,Bilaspur,15
Chamba,chamba,Himachal Pradesh                                  ,2,Chamba,16
Hamirpur,hamirpur,Himachal Pradesh                                  ,2,Hamirpur,17
Hamirpur,hamirpur,Uttar Pradesh                                     ,9,Hamirpur,149
Kangra,kangra,Himachal Pradesh                                  ,2,Kangra,18
Kinnaur,kinnaur,Himachal Pradesh                                  ,2,Kinnaur,19
Kullu,kullu,Himachal Pradesh                                  ,2,Kullu,20
Lahul & Spiti,lahul & spiti,Himachal Pradesh                                  ,2,Lahul and Spiti,21
Mandi,mandi,Himachal Pradesh                                  ,2,Mandi,22
Shimla,shimla,Himachal Pradesh                                  ,2,Shimla,23
Kishtwar,kishtwar,Jammu and Kashmir,1,Kishtwar,620
Kulgam,kulgam,Jammu and Kashmir,1,Kulgam,622
Kupwara,kupwara,Jammu and Kashmir,1,Kupwara,8
Leh (Ladakh),leh (ladakh),Ladakh,37,Leh Ladakh,9
Poonch,poonch,Jammu and Kashmir,1,Poonch,10
Pulwama,pulwama,Jammu and Kashmir,1,Pulwama,11
Rajouri,rajouri,Jammu and Kashmir,1,Rajouri,12
Ramban,ramban,Jammu and Kashmir,1,Ramban,621
Reasi,reasi,Jammu and Kashmir,1,Reasi,627
Samba,samba,Jammu and Kashmir,1,Samba,624
Anantnag,anantnag,Jammu and Kashmir,1,Anantnag,1
Shupiyan,shupiyan,Jammu and Kashmir,1,Shopian,625
Srinagar,srinagar,Jammu and Kashmir,1,Srinagar,13
Udhampur,udhampur,Jammu and Kashmir,1,Udhampur,14
Badgam,badgam,Jammu and Kashmir,1,Budgam,2
Bandipore,bandipore,Jammu and Kashmir,1,Bandipora,623
Baramulla,baramulla,Jammu and Kashmir,1,Baramulla,3
Doda,doda,Jammu and Kashmir,1,Doda,4
Ganderbal,ganderbal,Jammu and Kashmir,1,Ganderbal,626
Jammu,jammu,Jammu and Kashmir,1,Jammu,5
Kargil,kargil,Ladakh,37,Kargil,6
Kathua,kathua,Jammu and Kashmir,1,Kathua,7
Hazaribagh,hazaribagh,Jharkhand                                         ,20,Hazaribagh,332
Jamtara,jamtara,Jharkhand                                         ,20,Jamtara,333
Khunti,khunti,Jharkhand                                         ,20,Khunti,606
