state_name_data,dfso,district_code,district_name,state_code,state_name,,
ANDAMAN & NICOBAR ISLANDS,DFSO NICOBARS,603,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,DFSO NORTH AND MID,632,NORTH AND MIDDLE ANDAMAN,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,DFSO SOUTH ANDAMAN,602,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,"Directorate of Civil SUpplies and Consumer Affairs, Nicobars",603,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,"Directorate of Civil SUpplies and Consumer Affairs, North& Middle Andaman",632,NORTH AND MIDDLE ANDAMAN,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,"DIRECTORATE OF CIVIL SUPPLIES AND CONSUMER AFFAIRS, South Andaman",602,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,Nicobar,603,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,NICOBARS,603,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE AND,632,NORTH AND MIDDLE ANDAMAN,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,632,NORTH AND MIDDLE ANDAMAN,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,North Middle Andaman,632,NORTH AND MIDDLE ANDAMAN,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,South Andaman,602,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMANS,602,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,,
ANDHRA PRADESH,ANANTAPUR,502,ANANTAPUR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,CHITTOOR,503,CHITTOOR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE ANANTAPUR,502,ANANTAPUR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE CHITTOOR,503,CHITTOOR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE CUDDAPAH,504,Y.S.R.,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE EAST GODAVARI,505,EAST GODAVARI,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE GUNTUR,506,GUNTUR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE KRISHNA,510,KRISHNA,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE KURNOOL,511,KURNOOL,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE NELLORE,515,SPSR NELLORE,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE PRAKASAM,517,PRAKASAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE SRIKAKULAM,519,SRIKAKULAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE VISAKAPATNAM,520,VISAKHAPATANAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE VIZIANAGARAM,521,VIZIANAGARAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,DSO OFFICE WEST GODAVARI,523,WEST GODAVARI,28,ANDHRA PRADESH,,
ANDHRA PRADESH,EAST GODAVARI,505,EAST GODAVARI,28,ANDHRA PRADESH,,
ANDHRA PRADESH,GUNTUR,506,GUNTUR,28,ANDHRA PRADESH,,
ANDHRA PRADESH,KRISHNA,510,KRISHNA,28,ANDHRA PRADESH,,
ANDHRA PRADESH,KURNOOL,511,KURNOOL,28,ANDHRA PRADESH,,
ANDHRA PRADESH,PRAKASAM,517,PRAKASAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,SPSR NELLORE,515,SPSR NELLORE,28,ANDHRA PRADESH,,
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,515,SPSR NELLORE,28,ANDHRA PRADESH,,
ANDHRA PRADESH,SRIKAKULAM,519,SRIKAKULAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,VISAKHAPATANAM,520,VISAKHAPATANAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,VISAKHAPATNAM,520,VISAKHAPATANAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,VIZIANAGARAM,521,VIZIANAGARAM,28,ANDHRA PRADESH,,
ANDHRA PRADESH,WEST GODAVARI,523,WEST GODAVARI,28,ANDHRA PRADESH,,
ANDHRA PRADESH,Y.S.R KADAPA,504,Y.S.R.,28,ANDHRA PRADESH,,
ANDHRA PRADESH,Y.S.R.,504,Y.S.R.,28,ANDHRA PRADESH,,
ANDHRA PRADESH,,,,,,,
ARUNACHAL PRADESH,AMIT BENGIA,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Amit Bengia,237,capital complex,,,,
ARUNACHAL PRADESH,Anjaw,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,ANOM APANG,240,UPPER SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,ANOM APANG,240,UPPER SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,BIJOY PERTIN,232,EAST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,BIJOY PERTIN,232,EAST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,BURU LALING,240,UPPER SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,BURU LALING,240,UPPER SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,C.W. CHAKHAP,229,CHANGLANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,C.W. CHAKHAP,229,CHANGLANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Capital Complex,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Changlang,229,CHANGLANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,CHUKHU JIRJO,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,CHUKHU JIRJO,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,CHUKU JIRJO,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,CHUKU JIRJO,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Dibang Valley,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,DUYU LAMPONG,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,DUYU LAMPONG,677,KRA DAADI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,DUYU LAMPUNG,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,DUYU LAMPUNG,677,KRA DAADI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,East Kameng,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,East Siang,232,EAST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HAGE TATH,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HAGE TATH,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HAWAI,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HAWAI,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HONI BAYANG,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,HONI BAYANG,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,JORAM SANGKHU,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,JORAM SANGKHU,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,JORAM SANKU,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,JORAM SANKU,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,KAGO LOMA,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,KAGO LOMA,666,LONGDING,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,KAMLE,718,KAMLE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Kra Daadi,677,KRA DAADI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Kurung Kumey,233,KURUNG KUMEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Lohit,234,LOHIT,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Longding,666,LONGDING,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Lower Dibang Valley,235,LOWER DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,LOWER SIANG,719,LOWER SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Lower Subansiri,236,LOWER SUBANSIRI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,M.K CHAKRABORTY,234,LOHIT,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MARKE KARLO,,,,,,
ARUNACHAL PRADESH,MARKE KARLO,238,TAWANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MINALI TATO,679,SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MINALI TATO,679,SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MINLI TATO,679,SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MINLI TATO,679,SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,MISHUMBU MIRI,239,TIRAP,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Mishumbu Miri,239,TIRAP,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,NABUM TAGUM,678,NAMSAI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,NABUM TAGUM,678,NAMSAI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Namsai,678,NAMSAI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,NICHOLAS TAKAM,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,NICHOLAS TAKAM,231,EAST KAMENG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,PAKKE KESSANG,723,PAKKE KESSANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Papum Pare,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Papumpare,237,PAPUM PARE,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,PEKEN YOMCHA,,,,,,
ARUNACHAL PRADESH,PEKEN YOMCHA,241,UPPER SUBANSIRI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,R. N. LENDO,,,,,,
ARUNACHAL PRADESH,R. N. LENDO,243,WEST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,REBO RATAN,235,LOWER DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,REBO RATAN,235,LOWER DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,REBOM NGUSSO,,,,,,
ARUNACHAL PRADESH,REBOM NGUSSO,243,WEST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,RUPIR SIBOH,,,,,,
ARUNACHAL PRADESH,RUPIR SIBOH,628,ANJAW,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,Siang,679,SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAGOM KETAN,241,UPPER SUBANSIRI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAGOM KETAN,241,UPPER SUBANSIRI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAKU KARU,666,LONGDING,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAKU KARU,666,LONGDING,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAPOR MIZE,232,EAST SIANG,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TAPOR MIZE,230,DIBANG VALLEY,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TARH TAKIA,236,LOWER SUBANSIRI,12,ARUNACHAL PRADESH,,
ARUNACHAL PRADESH,TARH TAKIA,236,LOWER SUBANSIRI,12,ARUNACHAL PRADESH,,
