state_fert,district_fert,state_name,state_code,district_name,district_code
Andaman and Nicobar Islands,Nicobars,ANDAMAN AND NICOBAR ISLANDS,35,NICOBARS,603
Andaman and Nicobar Islands,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS,35,NORTH AND MIDDLE ANDAMAN,632
Andaman and Nicobar Islands,South Andamans,ANDAMAN AND NICOBAR ISLANDS,35,SOUTH ANDAMANS,602
Andhra Pradesh,Anantapur,ANDHRA PRADESH,28,ANANTAPUR,502
Andhra Pradesh,Chittoor,ANDHRA PRADESH,28,CHITTOOR,503
Andhra Pradesh,East Godavari,ANDHRA PRADESH,28,EAST GODAVARI,505
Andhra Pradesh,Guntur,ANDHRA PRADESH,28,GUNTUR,506
Andhra Pradesh,Krishna,ANDHRA PRADESH,28,KRISHNA,510
Andhra Pradesh,Kurnool,ANDHRA PRADESH,28,KURNOOL,511
Andhra Pradesh,Prakasam,ANDHRA PRADESH,28,PRAKASAM,517
Andhra Pradesh,Spsr Nellore,ANDHRA PRADESH,28,SPSR NELLORE,515
Andhra Pradesh,Srikakulam,ANDHRA PRADESH,28,SRIKAKULAM,519
Andhra Pradesh,Visakhapatanam,ANDHRA PRADESH,28,VISAKHAPATANAM,520
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,28,VIZIANAGARAM,521
Andhra Pradesh,West Godavari,ANDHRA PRADESH,28,WEST GODAVARI,523
Andhra Pradesh,Y.S.R.,ANDHRA PRADESH,28,Y.S.R.,504
Assam,Baksa,ASSAM,18,BAKSA,616
Assam,Barpeta,ASSAM,18,BARPETA,280
Assam,Bongaigaon,ASSAM,18,BONGAIGAON,281
Assam,Cachar,ASSAM,18,CACHAR,282
Assam,Chirang,ASSAM,18,CHIRANG,612
Assam,Darrang,ASSAM,18,DARRANG,283
Assam,Dhemaji,ASSAM,18,DHEMAJI,284
Assam,Dhubri,ASSAM,18,DHUBRI,285
Assam,Dibrugarh,ASSAM,18,DIBRUGARH,286
Assam,Goalpara,ASSAM,18,GOALPARA,287
Assam,Golaghat,ASSAM,18,GOLAGHAT,288
Assam,Hailakandi,ASSAM,18,HAILAKANDI,289
Assam,Jorhat,ASSAM,18,JORHAT,290
Assam,Kamrup,ASSAM,18,KAMRUP,291
